event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IND73855,2020-04-18,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Civilians (India),Health Workers (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,Uttar Pradesh,Meerut,Meerut,Meerut,28.98,77.7063,1,The Hindu; Times of India,National,"On 18 April 2020, a mob of local residents attacked a government doctor, in Meerut (UP), who lived in their neighbourhood asking him to vacate over fears of him spreading coronavirus.",0,crowd size=no report,1707858619
IND73883,2020-04-17,2020,1,Political violence,Violence against civilians,Attack,Police Forces of India (2014-),,State forces,Civilians (India),Health Workers (India),Civilians,State forces-Civilians,Civilian targeting,356,South Asia,India,Nagaland,Wokha,Wokha Sadar,Wokha,26.091,94.2587,1,Nagaland Page,Subnational,"On 17 April 2020, police personnel while enforcing lockdown amid coronavirus pandemic assaulted a doctor at Wokha town (Wokha district, Nagaland).",0,,1618502752
IND73778,2020-04-17,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Police Forces of India (2014-),Civilians (India); Health Workers (India),State forces,State forces-Rioters,,356,South Asia,India,Bihar,Darbhanga,Darbhanga,Bhal Patti,26.1853,86.0499,1,Times of India,National,"On 17 April 2020, a family assaulted a health worker and a police officer in Bhal Patti village (Darbhanga, Bihar), who were screening people during the coronavirus epidemic and tore their register.",0,crowd size=no report,1708472552
IND73719,2020-04-17,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Civilians (India),Health Workers (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,Uttar Pradesh,Bareilly,Bareilly,Bareilly,28.347,79.4219,2,United News of India,National,"On 17 April 2020, a mob of 4-5 families assaulted a team of Auxiliary Nurse Midwife (ANM), tempered their records in Unchey Faridpur area, Bareilly (UP) as they were enquiring about coronavirus cases.",0,crowd size=no report,1719939621
IND73772,2020-04-16,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Police Forces of India (2014-),Health Workers (India); Civilians (India),State forces,State forces-Rioters,,356,South Asia,India,Bihar,Purbi Champaran,Areraj,Areraj,26.5527,84.6726,1,Asian News International; Indian Express,National,"On 16 April 2020, locals attacked a medical and police team at Areraj village (Purba Champaran, Bihar), who went there to spread awareness on coronavirus and urge villagers to follow lockdown guidelines and social distancing. Three security personnel and a health manager were injured.",0,crowd size=no report,1649278360
IND73714,2020-04-16,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India),Protesters,,,,Protesters only,,356,South Asia,India,Uttar Pradesh,Prayagraj,Allahabad,Allahabad,25.4447,81.8432,1,Amar Ujala; Asian News International,Subnational-National,"On 16 April 2020, doctors staged a protest in Narayan Swaroop Hospital in Allahabad (UP) against the recent attacks on health workers during coronavirus outbreak.",0,crowd size=no report,1712695427
IND73717,2020-04-16,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India),Protesters,,,,Protesters only,,356,South Asia,India,Uttar Pradesh,Varanasi,Varanasi,Varanasi,25.3166,83.0104,1,Times of India,National,"On 16 April 2020, a group of nursing and paramedical staff staged a protest at SSL Hospital of Banaras Hindu University, Varanasi (UP), against the lack of protection equipment and proper training to deal with coronavirus.",0,crowd size=no report,1729632669
IND73715,2020-04-16,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India); Women (India),Protesters,,,,Protesters only,,356,South Asia,India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,1,Hindustan Times,National,"On 16 April 2020, female health workers staged a protest outside the civil hospital, Bathinda (Punjab) over not being paid salaries for over 6 months and lack of safety gear to deal with coronavirus.",0,crowd size=no report,1730913913
IND73763,2020-04-15,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Police Forces of India (2014-),Health Workers (India); Civilians (India),State forces,State forces-Rioters,,356,South Asia,India,Bihar,Purbi Champaran,Motihari,Motihari,26.6474,84.9102,2,The Hindu,National,"On 15 April 2020, villagers attacked police and medical teams in Jagakpakad village (Purba Champaran, Bihar) over coronavirus screening during the lockdown, injuring 9 of them.",0,crowd size=no report,1649278360
IND73712,2020-04-15,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Civilians (India),Health Workers (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,Uttar Pradesh,Moradabad,Moradabad,Moradabad,28.8389,78.7768,1,Hindustan Times; India Blooms News Service; Telegraph (India); The Hindu,National,"On 15 April 2020, a mob of around 100 people attacked doctors and health workers in Moradabad (UP) who had come to take family members of a coronavirus patient to quarantine. 7 people, including 4 health workers and 3 policemen injured. 17 arrested.",0,crowd size=around 100,1738102164
IND73761,2020-04-15,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Police Forces of India (2014-),Civilians (India); Health Workers (India),State forces,State forces-Rioters,,356,South Asia,India,Bihar,Kaimur,Bhabua,Ekauni,25.0131,83.7489,1,Indian Express,National,"On 15 April 2020, a health department team and a police officer were attacked by locals at Ekauni village (Aurangabad, Bihar), while visiting the village to get information on migrants during the coronavirus lockdown. Over half a dozen people suffered injuries.",0,crowd size=no report,1739920997
IND73759,2020-04-14,2020,1,Political violence,Riots,Mob violence,Rioters (India),Tribal Group (India); Vigilante Group (India),Rioters,Police Forces of India (2014-),Civilians (India); Health Workers (India),State forces,State forces-Rioters,,356,South Asia,India,Maharashtra,Palghar,Palghar,Palghar,19.6969,72.7654,2,Times of India,National,"On 14 April 2020, a doctor from Thane was stoned by tribal villagers in Saarni village of Palghar district (Maharashtra), as they suspected him to be a robber, based on rumors of theft by migrant workers during the coronavirus lockdown. Police rescued him and four officers were injured.",0,crowd size=no report,1649278360
IND73709,2020-04-14,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Civilians (India),Health Workers (India); Women (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,Delhi,Central Delhi,Darya Ganj,Delhi - Darya Ganj,28.6416,77.2397,1,Indian Express,National,"On 14 April 2020, patients allegedly attacked a female health worker at Lok Nayak Hospital, Delhi - Darya Ganj (Central Delhi, Delhi), in the coronavirus ward. Reason for attack not reported.",0,crowd size=no report,1734479883
IND73674,2020-04-13,2020,1,Political violence,Riots,Mob violence,Rioters (India),Tribal Group (India),Rioters,Civilians (India),Health Workers (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,West Bengal,Paschim Bardhaman,Salanpur,Rupnarayanpur,23.8142,86.8885,1,Telegraph (India),National,"On 13 April 2020, a group of tribal people detained health workers carrying six suspected coronavirus patients in two ambulances to a quarantine centre at Rupnarayanpur in the neighbouring Salanpur block (Paschim Bardhaman district, West Bengal) fearing spread of the virus in the locality. They also ransacked the ambulances, blocked the road and burnt tyres. Though a large police contingent rushed to the spot but failed to pacify the mob, which gheraoed the law enforcers with bows and arrows.",0,crowd size=no report,1649284044
